City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Akhmim,EG,2021-10-11 00:29:39,26.5622,31.745,82.53,22,16,4.97
266,Black Diamond,US,2021-10-11 00:29:40,47.3087,-122.0032,53.89,86,96,5.03
267,Pacasmayo,PE,2021-10-11 00:29:40,-7.4006,-79.5714,64.94,87,36,13.78
268,Lujan,AR,2021-10-11 00:29:40,-34.5703,-59.105,64.04,83,100,1.99
269,Koslan,RU,2021-10-11 00:29:41,63.4564,48.8989,46.76,97,100,10.04
270,Zaysan,KZ,2021-10-11 00:29:41,47.4667,84.8667,44.4,50,100,8.34
271,Harper,LR,2021-10-11 00:29:41,4.375,-7.7169,77.76,88,98,9.53
272,Shimoda,JP,2021-10-11 00:29:42,34.6667,138.95,79.16,72,14,10.13
273,Hambantota,LK,2021-10-11 00:29:42,6.1241,81.1185,79.14,100,75,6.91
274,Yangambi,CD,2021-10-11 00:29:42,0.8102,24.4336,70.88,98,100,1.99
275,Macomb,US,2021-10-11 00:25:25,40.4592,-90.6718,77.04,73,90,6.91
276,Esna,EG,2021-10-11 00:29:43,25.2934,32.554,87.84,19,21,5.66
277,Mandera,KE,2021-10-11 00:29:43,3.9366,41.867,80.2,62,99,16.58
278,Batemans Bay,AU,2021-10-11 00:26:43,-35.7167,150.1833,61.2,49,93,8.01
279,Abu Dhabi,AE,2021-10-11 00:28:13,24.4667,54.3667,86.02,62,0,4.61
280,Cabo San Lucas,MX,2021-10-11 00:29:44,22.8909,-109.9124,89.62,72,1,3.0
281,Ucluelet,CA,2021-10-11 00:24:56,48.9329,-125.5528,52.09,76,99,5.01
282,Chokwe,MZ,2021-10-11 00:29:44,-24.5333,32.9833,64.15,61,21,10.27
283,Almeirim,BR,2021-10-11 00:29:45,-1.5233,-52.5817,80.04,73,64,5.97
284,Peace River,CA,2021-10-11 00:29:45,56.2501,-117.286,41.31,70,75,12.66
285,Faanui,PF,2021-10-11 00:29:45,-16.4833,-151.75,79.79,74,44,12.84
286,Poya,NC,2021-10-11 00:29:46,-21.35,165.15,79.92,48,6,5.3
287,Margate,GB,2021-10-11 00:26:15,51.3813,1.3862,53.69,82,58,1.99
288,San Juan,AR,2021-10-11 00:29:46,-31.5375,-68.5364,70.95,31,2,6.82
289,Half Moon Bay,US,2021-10-11 00:29:46,37.4636,-122.4286,82.22,62,1,3.0
290,Lunca,RO,2021-10-11 00:29:47,43.8333,24.7667,50.14,62,100,12.97
291,Luba,GQ,2021-10-11 00:29:47,3.4568,8.5547,78.33,86,100,1.34
