City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
679,Naze,JP,83.32,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
680,Darnah,LY,74.32,clear sky,32.767,22.6367,فندق الفردوس
681,Ratnagiri,IN,82.76,broken clouds,16.9833,73.3,Hotel Landmark
682,Verrettes,HT,78.39,broken clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
685,Puerto Quijarro,BO,75.63,overcast clouds,-17.7833,-57.7667,Hotel palance
693,Tucupita,VE,75.09,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
696,Ouahigouya,BF,82.27,overcast clouds,13.5828,-2.4216,Hotel Liberte
698,Aklera,IN,84.27,clear sky,24.4167,76.5667,hotel sangam palace
699,Vung Tau,VN,81.41,overcast clouds,10.346,107.0843,Green hotel
702,Maryborough,AU,82.54,overcast clouds,-25.5333,152.7,Blue Shades Motel
703,Moratuwa,LK,82.35,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
706,Petatlan,MX,76.05,few clouds,17.5167,-101.2667,Hotel California Petatlán
